,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Recovery score %
15,0.5714285714285712,0.6419753086419754,0.3904109589041095,0.16000000000000014,0.45000000000000107,0.24913494809688597,0.5412844036697247,0.35265700483091783,74.0
16,0.14285714285714324,0.32098765432098764,0.0273972602739726,0.31999999999999984,0.0,0.5121107266435986,0.7155963302752294,0.3961352657004831,46.0
17,0.4285714285714288,0.3580246913580246,0.3972602739726028,0.3599999999999999,0.40000000000000036,0.3633217993079586,0.6055045871559633,0.34782608695652173,50.0
18,0.2857142857142856,0.28395061728395066,0.45890410958904104,0.2400000000000002,0.5500000000000007,0.6747404844290658,0.6788990825688074,0.5120772946859903,45.0
19,0.07142857142857162,0.3827160493827161,0.26712328767123283,0.20000000000000018,0.45000000000000107,0.19377162629757783,0.4954128440366973,0.3188405797101449,45.0
20,0.2857142857142856,0.28395061728395066,0.2191780821917808,0.16000000000000014,0.3500000000000014,0.4913494809688582,0.4036697247706422,0.36714975845410625,35.0
21,0.2857142857142856,0.4320987654320988,0.06164383561643838,0.52,0.45000000000000107,0.7854671280276818,0.6330275229357799,0.4782608695652173,54.0
22,0.2142857142857144,0.7654320987654321,1.0,0.3999999999999999,0.3500000000000014,0.6366782006920416,0.4678899082568807,0.3719806763285024,87.0
23,0.7142857142857144,0.19753086419753085,0.6643835616438355,0.3999999999999999,0.8000000000000007,0.3529411764705882,0.4036697247706422,0.4492753623188405,27.0
24,0.2857142857142856,0.6913580246913579,0.5136986301369862,0.31999999999999984,0.45000000000000107,0.522491349480969,0.45871559633027525,0.3381642512077294,82.0
25,0.2142857142857144,0.7283950617283951,0.3013698630136986,0.3599999999999999,0.3500000000000014,0.7404844290657441,0.5045871559633027,0.4154589371980676,90.0
26,0.35714285714285765,0.5679012345679012,0.7328767123287669,0.3599999999999999,0.5,0.7024221453287197,0.7522935779816514,0.6231884057971014,82.0
