,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Date
145,29.0,61.0,52.0,5.1,71.0,19.2,414.0,79.0,6.0,2025-02-21
146,58.0,62.0,77.0,6.5,73.0,19.0,405.0,76.0,34.0,2025-02-21
147,30.0,55.0,56.0,12.8,75.0,18.2,298.0,62.0,83.0,2025-02-19
148,46.0,55.0,69.0,9.7,72.0,18.5,420.0,84.0,81.0,2025-02-18
149,67.0,55.0,84.0,13.6,65.0,18.3,373.0,76.0,48.0,2025-02-18
150,92.0,59.0,103.0,6.6,64.0,18.5,487.0,98.0,91.0,2025-02-17
151,52.0,62.0,75.0,4.1,73.0,18.7,392.0,86.0,14.0,2025-02-16
152,74.0,60.0,85.0,9.2,76.0,19.5,425.0,70.0,51.0,2025-02-15
153,96.0,60.0,100.0,14.0,69.0,19.0,494.0,103.0,46.0,2025-02-14
154,75.0,61.0,77.0,6.2,71.0,19.0,517.0,71.0,30.0,2025-02-12
155,97.0,57.0,100.0,8.0,75.0,18.5,480.0,95.0,64.0,2025-02-11
156,59.0,61.0,67.0,15.4,67.0,19.1,444.0,81.0,33.0,2025-02-10
157,34.0,60.0,50.0,4.2,77.0,18.6,449.0,92.0,50.0,2025-02-09
158,96.0,61.0,87.0,15.7,75.0,18.9,490.0,103.0,77.0,2025-02-09
159,47.0,61.0,57.0,12.6,76.0,18.6,453.0,85.0,16.0,2025-02-08
160,74.0,61.0,70.0,11.8,73.0,18.7,477.0,90.0,30.0,2025-02-06
161,63.0,63.0,67.0,12.5,75.0,19.2,460.0,53.0,33.0,2025-02-05
162,74.0,60.0,70.0,9.5,77.0,19.5,455.0,86.0,17.0,2025-02-04
163,74.0,63.0,75.0,14.7,68.0,18.8,373.0,81.0,37.0,2025-02-03
164,62.0,57.0,62.0,5.4,74.0,19.1,502.0,88.0,56.0,2025-02-02
165,44.0,59.0,55.0,12.4,67.0,17.9,389.0,100.0,21.0,2025-02-02
166,97.0,58.0,93.0,7.0,73.0,19.0,501.0,113.0,73.0,2025-01-31
167,76.0,60.0,66.0,12.8,71.0,18.8,444.0,74.0,58.0,2025-01-30
168,59.0,61.0,57.0,9.3,73.0,18.8,460.0,93.0,128.0,2025-01-29
169,55.0,62.0,55.0,11.6,78.0,18.6,445.0,103.0,34.0,2025-01-28
170,89.0,60.0,78.0,13.9,76.0,18.5,453.0,87.0,64.0,2025-01-27
171,65.0,62.0,61.0,10.7,79.0,18.2,460.0,108.0,52.0,2025-01-26
